source,target
4,15
4,31
4,34
6,15
12,34
12,47
13,15
13,31
13,33
13,34
14,15
14,33
14,47
15,34
15,35
23,34
24,58
26,58
30,65
30,74
33,42
33,43
33,45
33,66
33,73
34,64
36,64
37,50
37,53
37,68
38,50
38,53
38,66
38,68
40,46
40,50
